inst#,actual,predicted,error,prediction,id
330,1:?,7:Neutral,,0.178,3330
331,1:?,9:Think,,0.397,3331
332,1:?,7:Neutral,,0.617,3332
333,1:?,8:Shrug,,0.561,3333
334,1:?,9:Think,,0.358,3334
335,1:?,9:Think,,0.446,3335
336,1:?,1:Clap,,0.48,3336
337,1:?,9:Think,,0.575,3337
338,1:?,2:Cry,,0.928,3338
339,1:?,1:Clap,,0.257,3339
340,1:?,6:Hands,,1,3340
341,1:?,9:Think,,0.402,3341
342,1:?,2:Cry,,0.701,3342
343,1:?,7:Neutral,,0.509,3343
344,1:?,4:Explode,,0.489,3344
345,1:?,1:Clap,,0.343,3345
346,1:?,8:Shrug,,0.631,3346
347,1:?,9:Think,,0.501,3347
348,1:?,8:Shrug,,0.747,3348
349,1:?,3:Disappoint,,1,3349
350,1:?,1:Clap,,0.194,3350
351,1:?,2:Cry,,0.852,3351
352,1:?,8:Shrug,,0.919,3352
353,1:?,6:Hands,,0.59,3353
354,1:?,2:Cry,,0.215,3354
355,1:?,5:FacePalm,,0.529,3355
356,1:?,9:Think,,0.585,3356
357,1:?,2:Cry,,0.247,3357
358,1:?,10:Upside,,0.374,3358
359,1:?,7:Neutral,,0.918,3359
360,1:?,10:Upside,,0.692,3360
361,1:?,10:Upside,,0.465,3361
362,1:?,2:Cry,,0.454,3362
363,1:?,9:Think,,0.239,3363
364,1:?,10:Upside,,0.226,3364
365,1:?,6:Hands,,0.33,3365
366,1:?,1:Clap,,0.343,3366
367,1:?,9:Think,,0.476,3367
368,1:?,5:FacePalm,,0.709,3368
369,1:?,7:Neutral,,0.331,3369
370,1:?,7:Neutral,,0.324,3370
371,1:?,10:Upside,,0.684,3371
372,1:?,1:Clap,,0.555,3372
373,1:?,3:Disappoint,,0.612,3373
374,1:?,9:Think,,0.986,3374
375,1:?,9:Think,,0.933,3375
376,1:?,8:Shrug,,0.694,3376
377,1:?,7:Neutral,,0.391,3377
378,1:?,1:Clap,,0.343,3378
379,1:?,5:FacePalm,,0.528,3379
380,1:?,10:Upside,,0.562,3380
381,1:?,9:Think,,0.491,3381
382,1:?,1:Clap,,0.221,3382
383,1:?,10:Upside,,0.355,3383
384,1:?,3:Disappoint,,0.898,3384
385,1:?,2:Cry,,0.703,3385
386,1:?,10:Upside,,0.581,3386
387,1:?,9:Think,,0.446,3387
388,1:?,1:Clap,,0.343,3388
389,1:?,3:Disappoint,,0.99,3389
390,1:?,6:Hands,,0.393,3390
391,1:?,2:Cry,,0.499,3391
392,1:?,7:Neutral,,0.222,3392
393,1:?,8:Shrug,,0.327,3393
394,1:?,6:Hands,,0.796,3394
395,1:?,8:Shrug,,0.481,3395
396,1:?,8:Shrug,,0.548,3396
397,1:?,4:Explode,,1,3397
398,1:?,1:Clap,,0.375,3398
399,1:?,2:Cry,,0.39,3399
400,1:?,1:Clap,,0.221,3400
401,1:?,9:Think,,0.973,3401
402,1:?,3:Disappoint,,0.444,3402
403,1:?,10:Upside,,0.565,3403
404,1:?,2:Cry,,0.652,3404
405,1:?,9:Think,,1,3405
406,1:?,1:Clap,,0.969,3406
407,1:?,9:Think,,0.223,3407
408,1:?,2:Cry,,0.533,3408
409,1:?,2:Cry,,0.511,3409
410,1:?,9:Think,,0.89,3410
411,1:?,7:Neutral,,0.189,3411
412,1:?,7:Neutral,,0.717,3412
413,1:?,2:Cry,,0.592,3413
414,1:?,10:Upside,,0.526,3414
415,1:?,4:Explode,,1,3415
416,1:?,1:Clap,,0.709,3416
417,1:?,2:Cry,,0.643,3417
418,1:?,8:Shrug,,0.877,3418
419,1:?,7:Neutral,,0.573,3419
420,1:?,6:Hands,,0.894,3420
421,1:?,1:Clap,,0.528,3421
422,1:?,9:Think,,0.726,3422
423,1:?,4:Explode,,0.639,3423
424,1:?,9:Think,,0.528,3424
425,1:?,5:FacePalm,,0.21,3425
426,1:?,10:Upside,,0.253,3426
427,1:?,1:Clap,,0.343,3427
428,1:?,9:Think,,0.239,3428
429,1:?,9:Think,,0.946,3429
430,1:?,6:Hands,,0.393,3430
431,1:?,9:Think,,0.683,3431
432,1:?,10:Upside,,0.603,3432
433,1:?,9:Think,,1,3433
434,1:?,1:Clap,,0.837,3434
435,1:?,10:Upside,,0.679,3435
436,1:?,1:Clap,,0.491,3436
437,1:?,1:Clap,,0.343,3437
438,1:?,1:Clap,,0.221,3438
439,1:?,7:Neutral,,0.976,3439
440,1:?,5:FacePalm,,0.999,3440
441,1:?,1:Clap,,0.261,3441
442,1:?,7:Neutral,,0.549,3442
443,1:?,1:Clap,,0.343,3443
444,1:?,1:Clap,,0.541,3444
445,1:?,1:Clap,,0.947,3445
446,1:?,10:Upside,,0.431,3446
447,1:?,8:Shrug,,1,3447
448,1:?,2:Cry,,0.248,3448
449,1:?,1:Clap,,0.216,3449
450,1:?,8:Shrug,,0.963,3450
451,1:?,1:Clap,,0.221,3451
452,1:?,5:FacePalm,,0.494,3452
453,1:?,8:Shrug,,0.575,3453
454,1:?,1:Clap,,0.394,3454
455,1:?,8:Shrug,,0.875,3455
456,1:?,9:Think,,0.46,3456
457,1:?,9:Think,,0.392,3457
458,1:?,10:Upside,,0.268,3458
459,1:?,4:Explode,,1,3459
460,1:?,1:Clap,,0.221,3460
461,1:?,1:Clap,,0.448,3461
462,1:?,10:Upside,,0.283,3462
463,1:?,7:Neutral,,0.774,3463
464,1:?,6:Hands,,0.827,3464
465,1:?,10:Upside,,0.455,3465
466,1:?,2:Cry,,0.247,3466
467,1:?,6:Hands,,0.924,3467
468,1:?,9:Think,,1,3468
469,1:?,1:Clap,,0.221,3469
470,1:?,4:Explode,,0.393,3470
471,1:?,9:Think,,0.898,3471
472,1:?,9:Think,,1,3472
473,1:?,10:Upside,,0.4,3473
474,1:?,1:Clap,,0.917,3474
475,1:?,5:FacePalm,,0.581,3475
476,1:?,4:Explode,,1,3476
477,1:?,2:Cry,,0.452,3477
478,1:?,7:Neutral,,0.178,3478
479,1:?,2:Cry,,0.533,3479
480,1:?,9:Think,,0.617,3480
481,1:?,1:Clap,,0.343,3481
482,1:?,10:Upside,,0.498,3482
483,1:?,1:Clap,,0.533,3483
484,1:?,7:Neutral,,0.222,3484
485,1:?,2:Cry,,0.894,3485
486,1:?,9:Think,,0.986,3486
487,1:?,2:Cry,,0.52,3487
488,1:?,2:Cry,,0.376,3488
489,1:?,10:Upside,,0.56,3489
490,1:?,10:Upside,,0.479,3490
491,1:?,2:Cry,,0.281,3491
492,1:?,1:Clap,,0.343,3492
493,1:?,4:Explode,,0.498,3493
494,1:?,9:Think,,0.388,3494
495,1:?,2:Cry,,0.852,3495
496,1:?,5:FacePalm,,0.812,3496
497,1:?,3:Disappoint,,0.264,3497
498,1:?,1:Clap,,0.541,3498
499,1:?,1:Clap,,0.343,3499
500,1:?,7:Neutral,,0.999,3500
501,1:?,10:Upside,,0.653,3501
502,1:?,1:Clap,,0.221,3502
503,1:?,8:Shrug,,0.454,3503
504,1:?,8:Shrug,,0.241,3504
505,1:?,9:Think,,0.811,3505
506,1:?,1:Clap,,0.261,3506
507,1:?,1:Clap,,0.288,3507
508,1:?,6:Hands,,1,3508
509,1:?,7:Neutral,,0.49,3509
510,1:?,5:FacePalm,,0.993,3510
511,1:?,2:Cry,,1,3511
512,1:?,9:Think,,0.711,3512
513,1:?,2:Cry,,0.225,3513
514,1:?,1:Clap,,0.329,3514
515,1:?,1:Clap,,0.315,3515
516,1:?,1:Clap,,0.254,3516
517,1:?,1:Clap,,0.315,3517
518,1:?,6:Hands,,1,3518
519,1:?,9:Think,,0.309,3519
520,1:?,7:Neutral,,0.998,3520
521,1:?,1:Clap,,0.247,3521
522,1:?,5:FacePalm,,0.769,3522
523,1:?,10:Upside,,0.655,3523
524,1:?,9:Think,,0.335,3524
525,1:?,9:Think,,0.864,3525
526,1:?,7:Neutral,,0.521,3526
527,1:?,1:Clap,,0.26,3527
528,1:?,7:Neutral,,0.542,3528
529,1:?,2:Cry,,0.748,3529
530,1:?,8:Shrug,,0.355,3530
531,1:?,6:Hands,,1,3531
532,1:?,1:Clap,,0.946,3532
533,1:?,1:Clap,,0.736,3533
534,1:?,7:Neutral,,0.303,3534
535,1:?,8:Shrug,,0.431,3535
536,1:?,2:Cry,,1,3536
537,1:?,7:Neutral,,0.999,3537
538,1:?,2:Cry,,0.408,3538
539,1:?,7:Neutral,,0.555,3539
540,1:?,9:Think,,0.317,3540
541,1:?,4:Explode,,0.652,3541
542,1:?,1:Clap,,0.19,3542
543,1:?,1:Clap,,0.261,3543
544,1:?,1:Clap,,0.5,3544
545,1:?,7:Neutral,,0.493,3545
546,1:?,7:Neutral,,0.599,3546
547,1:?,9:Think,,0.891,3547
548,1:?,9:Think,,0.53,3548
549,1:?,9:Think,,0.894,3549
550,1:?,9:Think,,0.647,3550
551,1:?,2:Cry,,0.491,3551
552,1:?,10:Upside,,0.38,3552
553,1:?,10:Upside,,0.808,3553
554,1:?,1:Clap,,0.343,3554
555,1:?,10:Upside,,0.726,3555
556,1:?,10:Upside,,0.327,3556
557,1:?,1:Clap,,0.266,3557
558,1:?,2:Cry,,0.534,3558
559,1:?,10:Upside,,0.895,3559
560,1:?,10:Upside,,0.383,3560
561,1:?,9:Think,,1,3561
562,1:?,1:Clap,,0.343,3562
563,1:?,6:Hands,,1,3563
564,1:?,6:Hands,,1,3564
565,1:?,10:Upside,,0.877,3565
566,1:?,4:Explode,,1,3566
567,1:?,8:Shrug,,0.264,3567
568,1:?,7:Neutral,,0.493,3568
569,1:?,9:Think,,0.565,3569
570,1:?,1:Clap,,0.221,3570
571,1:?,4:Explode,,0.365,3571
572,1:?,6:Hands,,0.766,3572
573,1:?,1:Clap,,0.234,3573
574,1:?,9:Think,,0.874,3574
575,1:?,4:Explode,,0.334,3575
576,1:?,6:Hands,,0.871,3576
577,1:?,5:FacePalm,,0.621,3577
578,1:?,8:Shrug,,0.64,3578
579,1:?,9:Think,,0.455,3579
580,1:?,2:Cry,,0.467,3580
581,1:?,2:Cry,,0.714,3581
582,1:?,10:Upside,,0.948,3582
583,1:?,1:Clap,,0.343,3583
584,1:?,7:Neutral,,0.578,3584
585,1:?,1:Clap,,0.221,3585
586,1:?,9:Think,,0.272,3586
587,1:?,10:Upside,,0.614,3587
588,1:?,10:Upside,,0.946,3588
589,1:?,4:Explode,,0.321,3589
590,1:?,10:Upside,,0.185,3590
591,1:?,8:Shrug,,0.843,3591
592,1:?,7:Neutral,,0.272,3592
593,1:?,4:Explode,,1,3593
594,1:?,1:Clap,,0.479,3594
595,1:?,2:Cry,,0.272,3595
596,1:?,8:Shrug,,1,3596
597,1:?,10:Upside,,0.279,3597
598,1:?,4:Explode,,1,3598
599,1:?,9:Think,,0.908,3599
600,1:?,2:Cry,,0.879,3600
601,1:?,7:Neutral,,0.335,3601
602,1:?,10:Upside,,0.942,3602
603,1:?,2:Cry,,0.81,3603
604,1:?,10:Upside,,0.849,3604
605,1:?,9:Think,,0.988,3605
606,1:?,4:Explode,,0.726,3606
607,1:?,1:Clap,,0.221,3607
608,1:?,1:Clap,,0.36,3608
609,1:?,5:FacePalm,,0.993,3609
610,1:?,8:Shrug,,0.832,3610
611,1:?,2:Cry,,0.253,3611
612,1:?,9:Think,,0.973,3612
613,1:?,8:Shrug,,0.333,3613
614,1:?,1:Clap,,0.435,3614
615,1:?,7:Neutral,,0.59,3615
616,1:?,7:Neutral,,0.518,3616
617,1:?,7:Neutral,,0.462,3617
618,1:?,1:Clap,,0.448,3618
619,1:?,9:Think,,0.738,3619
620,1:?,9:Think,,0.899,3620
621,1:?,8:Shrug,,0.301,3621
622,1:?,7:Neutral,,0.263,3622
623,1:?,1:Clap,,0.85,3623
624,1:?,4:Explode,,0.334,3624
625,1:?,10:Upside,,0.764,3625
626,1:?,2:Cry,,0.641,3626
627,1:?,1:Clap,,0.343,3627
628,1:?,10:Upside,,0.204,3628
629,1:?,10:Upside,,0.567,3629
630,1:?,4:Explode,,0.413,3630
631,1:?,9:Think,,0.382,3631
632,1:?,6:Hands,,0.386,3632
633,1:?,9:Think,,0.986,3633
634,1:?,3:Disappoint,,0.429,3634
635,1:?,9:Think,,0.524,3635
636,1:?,9:Think,,0.936,3636
637,1:?,2:Cry,,0.955,3637
638,1:?,9:Think,,0.801,3638
639,1:?,9:Think,,0.332,3639
640,1:?,1:Clap,,0.221,3640
641,1:?,1:Clap,,0.419,3641
642,1:?,2:Cry,,0.833,3642
643,1:?,4:Explode,,0.638,3643
644,1:?,6:Hands,,0.231,3644
645,1:?,1:Clap,,0.453,3645
646,1:?,10:Upside,,0.772,3646
647,1:?,8:Shrug,,0.887,3647
648,1:?,9:Think,,0.355,3648
649,1:?,2:Cry,,0.295,3649
650,1:?,2:Cry,,0.972,3650
651,1:?,8:Shrug,,0.891,3651
652,1:?,8:Shrug,,0.461,3652
653,1:?,6:Hands,,1,3653
654,1:?,10:Upside,,0.981,3654
655,1:?,1:Clap,,0.315,3655
656,1:?,4:Explode,,1,3656
657,1:?,2:Cry,,0.248,3657
658,1:?,9:Think,,0.466,3658
659,1:?,9:Think,,0.971,3659
660,1:?,7:Neutral,,0.277,3660
661,1:?,6:Hands,,0.343,3661
662,1:?,5:FacePalm,,0.395,3662
663,1:?,9:Think,,0.446,3663
664,1:?,3:Disappoint,,1,3664
665,1:?,1:Clap,,0.969,3665
666,1:?,4:Explode,,0.467,3666
667,1:?,9:Think,,0.873,3667
668,1:?,9:Think,,0.986,3668
669,1:?,7:Neutral,,0.545,3669
670,1:?,8:Shrug,,0.328,3670
671,1:?,9:Think,,0.427,3671
672,1:?,7:Neutral,,0.199,3672
673,1:?,10:Upside,,0.592,3673
674,1:?,1:Clap,,0.597,3674
675,1:?,10:Upside,,0.587,3675
676,1:?,9:Think,,0.978,3676
677,1:?,7:Neutral,,0.997,3677
678,1:?,4:Explode,,1,3678
679,1:?,10:Upside,,0.333,3679
680,1:?,9:Think,,0.986,3680
681,1:?,10:Upside,,0.377,3681
682,1:?,1:Clap,,0.221,3682
683,1:?,1:Clap,,0.303,3683
684,1:?,4:Explode,,0.686,3684
685,1:?,10:Upside,,0.411,3685
686,1:?,4:Explode,,1,3686
687,1:?,8:Shrug,,0.877,3687
688,1:?,7:Neutral,,0.737,3688
689,1:?,1:Clap,,0.343,3689
690,1:?,8:Shrug,,0.44,3690
691,1:?,10:Upside,,0.378,3691
692,1:?,9:Think,,0.725,3692
693,1:?,8:Shrug,,0.579,3693
694,1:?,1:Clap,,0.525,3694
695,1:?,2:Cry,,1,3695
696,1:?,1:Clap,,0.352,3696
697,1:?,9:Think,,0.425,3697
698,1:?,2:Cry,,0.729,3698
699,1:?,1:Clap,,0.509,3699
700,1:?,1:Clap,,0.19,3700
701,1:?,1:Clap,,0.221,3701
702,1:?,10:Upside,,0.559,3702
703,1:?,9:Think,,0.348,3703
